Index,City ID,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
286,863061,Usinsk,1,RU,1594513097,77,65.99,57.53,13.43,1.17
287,2128975,Nemuro,75,JP,1594512834,88,43.32,145.57,17.0,5.1
288,3347019,Mossamedes,0,AO,1594512900,56,-15.2,12.15,17.96,3.56
289,3883457,Lebu,94,CL,1594512737,80,-37.62,-73.65,9.84,3.64
290,885800,Mount Darwin,6,ZW,1594513098,69,-16.77,31.58,16.45,1.15
291,3421719,Narsaq,29,GL,1594512773,81,60.92,-46.05,10.0,3.1
292,3061729,Ždánice,99,CZ,1594513098,93,49.07,17.03,11.0,2.1
293,2447513,Arlit,16,NE,1594512948,25,18.74,7.39,33.06,1.59
294,178443,Wajir,75,KE,1594513099,72,1.75,40.06,23.45,7.52
295,2165087,Gold Coast,75,AU,1594512995,64,-28.0,153.43,22.0,3.6
296,2015913,Suntar,22,RU,1594512701,74,62.14,117.63,21.55,3.23
297,1244926,Hambantota,100,LK,1594512818,81,6.12,81.12,26.9,7.04
298,6542092,Anzio,0,IT,1594513100,99,41.49,12.62,23.89,0.89
299,2017215,Sangar,46,RU,1594513100,66,63.92,127.47,22.46,7.56
300,5151186,Coshocton,9,US,1594513101,66,40.27,-81.86,26.11,2.32
301,1254046,Tura,98,IN,1594512789,99,25.52,90.22,23.63,2.71
302,2074865,Carnarvon,0,AU,1594512662,32,-24.87,113.63,12.0,4.6
303,6144312,Sept-Îles,90,CA,1594513101,88,50.2,-66.38,19.0,2.1
304,4202810,Jesup,1,US,1594513077,36,31.61,-81.89,35.0,1.5
305,2123628,Magadan,3,RU,1594513103,71,59.57,150.8,16.62,0.52
306,3489440,Morant Bay,20,JM,1594513103,66,17.88,-76.41,30.0,6.2
307,4328010,Houma,40,US,1594513103,70,29.6,-90.72,35.0,3.1
308,5859699,College,75,US,1594512563,32,64.86,-147.8,21.0,0.44
309,1529195,Shihezi,67,CN,1594513104,51,44.3,86.03,21.6,4.02
310,2033196,Zhangjiakou,100,CN,1594513105,82,40.81,114.88,20.22,1.19
311,1797117,Rongcheng,100,CN,1594513106,99,30.63,117.85,27.78,1.71
312,3421193,Paamiut,0,GL,1594512887,87,61.99,-49.67,6.53,0.7
313,609924,Emba,76,KZ,1594513107,32,48.83,58.14,29.52,3.31
314,2022572,Khatanga,84,RU,1594512808,78,71.97,102.5,11.1,7.66
315,4616470,Crossville,1,US,1594513107,51,35.95,-85.03,27.0,3.1
316,934322,Mahébourg,40,MU,1594512761,73,-20.41,57.7,21.0,6.7
317,1328421,Pathein,76,MM,1594513108,84,16.78,94.73,27.21,1.83
318,2109528,Buala,80,SB,1594512773,70,-8.14,159.59,29.53,4.09
319,697613,Manhush,0,UA,1594513108,100,47.06,37.31,24.44,6.71
320,5404554,Union City,1,US,1594512896,42,37.6,-122.02,33.89,6.2
321,3105522,Bereda,48,ES,1594513109,96,43.27,-7.54,16.11,4.47
322,3896105,Cauquenes,95,CL,1594512949,81,-35.97,-72.32,7.17,0.68
323,1529484,Kumul,74,CN,1594512922,24,42.8,93.45,28.1,2.15
324,3407194,Areia Branca,49,BR,1594513110,75,-4.96,-37.14,25.12,8.27
325,1529660,Aksu,16,CN,1594513110,47,41.12,80.26,21.53,1.59
326,3628473,San Cristobal,75,VE,1594512672,54,7.77,-72.22,28.0,8.7
327,111453,Zanjān,70,IR,1594513112,74,36.67,48.48,14.83,3.3
328,50814,Wajid,49,SO,1594513112,70,3.81,43.25,23.66,9.0
329,2079582,Alyangula,40,AU,1594512867,78,-13.85,136.42,25.0,3.6
330,920233,Chibombo,0,ZM,1594513112,64,-14.66,28.07,15.71,2.12
331,8079926,Labuhan,82,ID,1594512934,81,-6.88,112.21,25.48,4.28
332,3860443,Comodoro Rivadavia,2,AR,1594513113,52,-45.87,-67.5,5.0,3.6
333,5969025,Haines Junction,100,CA,1594512788,46,60.75,-137.51,15.58,3.55
334,2126710,Beringovskiy,97,RU,1594512706,84,63.05,179.32,9.62,1.31
